,precision,recall,f1-score,support
0-50,0.0,0.0,0.0,983.0
50-100,0.27706283118849356,1.0,0.4339063426200356,2196.0
100-150,0.0,0.0,0.0,1537.0
150-200,0.0,0.0,0.0,1085.0
200-250,0.0,0.0,0.0,602.0
250-300,0.0,0.0,0.0,428.0
300-350,0.0,0.0,0.0,261.0
350+,0.0,0.0,0.0,834.0
accuracy,0.27706283118849356,0.27706283118849356,0.27706283118849356,0.27706283118849356
macro avg,0.034632853898561695,0.125,0.05423829282750445,7926.0
weighted avg,0.07676381242618369,0.27706283118849356,0.12021931975695158,7926.0
