,precision,recall,f1-score,support
0-50,0.5718336483931947,0.6526429341963322,0.6095717884130982,927.0
50-100,0.5260886622204786,0.6199722607489597,0.5691850594227504,2163.0
100-150,0.35594170403587444,0.393676379417235,0.37385928760671183,1613.0
150-200,0.33298969072164947,0.29907407407407405,0.3151219512195122,1080.0
200-250,0.23832923832923833,0.1632996632996633,0.1938061938061938,594.0
250-300,0.2868217054263566,0.17090069284064666,0.2141823444283647,433.0
300-350,0.22935779816513763,0.10121457489878542,0.1404494382022472,247.0
350+,0.6460176991150443,0.5880322209436134,0.6156626506024097,869.0
accuracy,0.4555892001009336,0.4555892001009336,0.4555892001009336,0.4555892001009336
macro avg,0.3984225183008718,0.3736016000524137,0.378979839212661,7926.0
weighted avg,0.43976590029366336,0.4555892001009336,0.44374851860772907,7926.0
